"Story","Title","Result","Date","Stability","Duration (s)"
"Testing Delete Todos JsonPlaceHolder API","Delete todos with valid id but out of range should failed then return 404 response code","FAILURE","2023-01-20T18:56:06.66+07:00[Asia/Bangkok]","0.0","1.02"
"Testing Delete Todos JsonPlaceHolder API","DELETE todos with invalid id should failed then return 400 response code","FAILURE","2023-01-20T18:56:07.692+07:00[Asia/Bangkok]","0.0","1.1"
"Testing GET todos JsonPlaceHolder API","Get todos with invalid parameter id as string should failed then return 400 response code","FAILURE","2023-01-20T18:56:11.734+07:00[Asia/Bangkok]","0.0","0.91"
"Testing POST Todos JsonPlaceHolder API","POST Todos with blank parameter should failed then return 400 response code","FAILURE","2023-01-20T18:56:17.764+07:00[Asia/Bangkok]","0.0","0.83"
"Testing POST Todos JsonPlaceHolder API","POST Todos with extra body category should failed then return 400 response code","FAILURE","2023-01-20T18:56:18.604+07:00[Asia/Bangkok]","0.0","1.03"
"Testing POST Todos JsonPlaceHolder API","POST Todos with invalid body data type should failed then return 400 response code","FAILURE","2023-01-20T18:56:19.636+07:00[Asia/Bangkok]","0.0","1.03"
"Testing POST Todos JsonPlaceHolder API","POST Todos with invalid body category should failed then return 400 response code","FAILURE","2023-01-20T18:56:20.672+07:00[Asia/Bangkok]","0.0","1.03"
"Testing PUT Todos JsonPlaceHolder API","Put update user with difference userID and id should failed then return 400 response code","FAILURE","2023-01-20T18:56:22.798+07:00[Asia/Bangkok]","0.0","1.05"
"Testing PUT Todos JsonPlaceHolder API","Put update user with blank body should failed then return 400 response code","FAILURE","2023-01-20T18:56:23.857+07:00[Asia/Bangkok]","0.0","1.09"
"Testing PUT Todos JsonPlaceHolder API","Put update user with extra body category should failed then return 400 response code","FAILURE","2023-01-20T18:56:24.948+07:00[Asia/Bangkok]","0.0","1.07"
"Testing PUT Todos JsonPlaceHolder API","Put update user with invalid body data type should failed then return 400 response code","FAILURE","2023-01-20T18:56:26.028+07:00[Asia/Bangkok]","0.0","1.1"
"Testing PUT Todos JsonPlaceHolder API","Put update user with invalid body category should failed then return 400 response code","FAILURE","2023-01-20T18:56:27.132+07:00[Asia/Bangkok]","0.0","1.1"
