"Story","Title","Result","Date","Stability","Duration (s)"
"Delete album","Delete users with valid id","SUCCESS","2023-01-20T18:55:09.545+07:00[Asia/Bangkok]","0.0","4.99"
"Testing GET","Get album with valid parameter","SUCCESS","2023-01-20T18:55:15.656+07:00[Asia/Bangkok]","0.0","1.44"
"Testing Create Album","Post create album with valid json","SUCCESS","2023-01-20T18:55:18.029+07:00[Asia/Bangkok]","0.0","1.1"
"Put update albums","Put update album with valid parameter","SUCCESS","2023-01-20T18:55:23.603+07:00[Asia/Bangkok]","0.0","1.53"
"Put update albums","Put update album with unregister body json","SUCCESS","2023-01-20T18:55:28.401+07:00[Asia/Bangkok]","0.0","1.33"
"Testing DELETE comments JsonPlaceHolder","DELETE Comments with valid parameter","SUCCESS","2023-01-20T18:55:29.741+07:00[Asia/Bangkok]","0.0","1.08"
"Testing GET comments JsonPlaceHolder","GET comments with valid parameter id","SUCCESS","2023-01-20T18:55:32.943+07:00[Asia/Bangkok]","0.0","0.69"
"Testing GET comments JsonPlaceHolder","GET comments with invalid parameter","SUCCESS","2023-01-20T18:55:36.807+07:00[Asia/Bangkok]","0.0","1.1"
"Testing POST comments JsonPlaceHolder","POST comments with valid json","SUCCESS","2023-01-20T18:55:37.919+07:00[Asia/Bangkok]","0.0","1.21"
"Testing PUT comments JsonPlaceHolder","PUT comments with valid json","SUCCESS","2023-01-20T18:55:43.58+07:00[Asia/Bangkok]","0.0","1.12"
"Testing Get Posts REST API","API GET without id","SUCCESS","2023-01-20T18:55:50.985+07:00[Asia/Bangkok]","0.0","1.15"
"Testing Get Posts REST API","API GET with valid id","SUCCESS","2023-01-20T18:55:52.144+07:00[Asia/Bangkok]","0.0","0.95"
"Testing Get Posts REST API","API GET with invalid id","SUCCESS","2023-01-20T18:55:53.103+07:00[Asia/Bangkok]","0.0","1.1"
"Testing Post Posts REST API","API POST new posts with valid parameter","SUCCESS","2023-01-20T18:55:55.04+07:00[Asia/Bangkok]","0.0","1.09"
"Testing Put Posts REST API","API PUT with valid parameter","SUCCESS","2023-01-20T18:56:00.317+07:00[Asia/Bangkok]","0.0","1.14"
"Testing Delete Todos JsonPlaceHolder API","Delete todos with valid id should success then return 200 response code","SUCCESS","2023-01-20T18:56:05.608+07:00[Asia/Bangkok]","0.0","1.05"
"Testing GET todos JsonPlaceHolder API","GET todos with modified id should succes then return 200 response code","SUCCESS","2023-01-20T18:56:08.798+07:00[Asia/Bangkok]","0.0","0.94"
"Testing GET todos JsonPlaceHolder API","GET todos with id 1 and get respon body page with id 1 should succes then return 200 response code","SUCCESS","2023-01-20T18:56:09.747+07:00[Asia/Bangkok]","0.0","0.91"
"Testing GET todos JsonPlaceHolder API","GET todos with modified id out of range should failed then return 404 response code","SUCCESS","2023-01-20T18:56:10.657+07:00[Asia/Bangkok]","0.0","1.07"
"Testing GET todos JsonPlaceHolder API","GET todos without id should success then return 200 response code","SUCCESS","2023-01-20T18:56:12.647+07:00[Asia/Bangkok]","0.0","1.8"
"Testing GET todos JsonPlaceHolder API","GET todos with modified parameter should succes then return 200 response code","SUCCESS","2023-01-20T18:56:14.451+07:00[Asia/Bangkok]","0.0","1.07"
"Testing GET todos JsonPlaceHolder API","Get todos with invalid id as string should failed then return 404 response code","SUCCESS","2023-01-20T18:56:15.522+07:00[Asia/Bangkok]","0.0","0.94"
"Testing POST Todos JsonPlaceHolder API","POST todos with valid input body should succes then return 201 response code","SUCCESS","2023-01-20T18:56:16.47+07:00[Asia/Bangkok]","0.0","1.11"
"Testing PUT Todos JsonPlaceHolder API","Put update user with valid json should success then return 200 response code","SUCCESS","2023-01-20T18:56:21.709+07:00[Asia/Bangkok]","0.0","1.08"
"Testing PUT Todos JsonPlaceHolder API","Put update user with unregistered id should failed then return 500 response code","SUCCESS","2023-01-20T18:56:28.241+07:00[Asia/Bangkok]","0.0","1.09"
"Testing PUT Todos JsonPlaceHolder API","Put update user with invalid id as string should failed then return 500 response code","SUCCESS","2023-01-20T18:56:29.334+07:00[Asia/Bangkok]","0.0","0.86"
