"Story","Title","Result","Date","Stability","Duration (s)"
"Testing Delete Todos JsonPlaceHolder API","Delete todos with valid id should success then return 200 response code","SUCCESS","2023-01-20T18:56:05.608+07:00[Asia/Bangkok]","0.0","1.05"
"Testing GET todos JsonPlaceHolder API","GET todos with modified id should succes then return 200 response code","SUCCESS","2023-01-20T18:56:08.798+07:00[Asia/Bangkok]","0.0","0.94"
"Testing GET todos JsonPlaceHolder API","GET todos with id 1 and get respon body page with id 1 should succes then return 200 response code","SUCCESS","2023-01-20T18:56:09.747+07:00[Asia/Bangkok]","0.0","0.91"
"Testing GET todos JsonPlaceHolder API","GET todos with modified id out of range should failed then return 404 response code","SUCCESS","2023-01-20T18:56:10.657+07:00[Asia/Bangkok]","0.0","1.07"
"Testing GET todos JsonPlaceHolder API","GET todos without id should success then return 200 response code","SUCCESS","2023-01-20T18:56:12.647+07:00[Asia/Bangkok]","0.0","1.8"
"Testing GET todos JsonPlaceHolder API","GET todos with modified parameter should succes then return 200 response code","SUCCESS","2023-01-20T18:56:14.451+07:00[Asia/Bangkok]","0.0","1.07"
"Testing GET todos JsonPlaceHolder API","Get todos with invalid id as string should failed then return 404 response code","SUCCESS","2023-01-20T18:56:15.522+07:00[Asia/Bangkok]","0.0","0.94"
"Testing POST Todos JsonPlaceHolder API","POST todos with valid input body should succes then return 201 response code","SUCCESS","2023-01-20T18:56:16.47+07:00[Asia/Bangkok]","0.0","1.11"
"Testing PUT Todos JsonPlaceHolder API","Put update user with valid json should success then return 200 response code","SUCCESS","2023-01-20T18:56:21.709+07:00[Asia/Bangkok]","0.0","1.08"
"Testing PUT Todos JsonPlaceHolder API","Put update user with unregistered id should failed then return 500 response code","SUCCESS","2023-01-20T18:56:28.241+07:00[Asia/Bangkok]","0.0","1.09"
"Testing PUT Todos JsonPlaceHolder API","Put update user with invalid id as string should failed then return 500 response code","SUCCESS","2023-01-20T18:56:29.334+07:00[Asia/Bangkok]","0.0","0.86"
