"Story","Title","Result","Date","Stability","Duration (s)"
"Testing Create Album","Post create album with invalid json","FAILURE","2023-01-20T18:55:19.137+07:00[Asia/Bangkok]","0.0","1.11"
"Testing Create Album","Post create album with same body json","FAILURE","2023-01-20T18:55:20.267+07:00[Asia/Bangkok]","0.0","1.14"
"Testing Create Album","Post create album with blank body json","FAILURE","2023-01-20T18:55:21.414+07:00[Asia/Bangkok]","0.0","1.07"
"Testing Create Album","Post create album with extra body json","FAILURE","2023-01-20T18:55:22.487+07:00[Asia/Bangkok]","0.0","1.1"
"Put update albums","Put update album with invalid parameter request","FAILURE","2023-01-20T18:55:25.147+07:00[Asia/Bangkok]","0.0","1.11"
"Put update albums","Put update album with blank body","FAILURE","2023-01-20T18:55:26.265+07:00[Asia/Bangkok]","0.0","1.06"
"Put update albums","Put update album with extra body json","FAILURE","2023-01-20T18:55:27.328+07:00[Asia/Bangkok]","0.0","1.07"
"Testing DELETE comments JsonPlaceHolder","DELETE Comments with unregistered parameter id","FAILURE","2023-01-20T18:55:30.822+07:00[Asia/Bangkok]","0.0","1.06"
"Testing DELETE comments JsonPlaceHolder","DELETE Comments with invalid parameter id","FAILURE","2023-01-20T18:55:31.89+07:00[Asia/Bangkok]","0.0","1.05"
"Testing GET comments JsonPlaceHolder","GET comments with invalid parameter id","FAILURE","2023-01-20T18:55:33.634+07:00[Asia/Bangkok]","0.0","1.09"
"Testing GET comments JsonPlaceHolder","GET comments with unregistered parameter id","FAILURE","2023-01-20T18:55:34.728+07:00[Asia/Bangkok]","0.0","1.08"
"Testing POST comments JsonPlaceHolder","POST comments with invalid json","FAILURE","2023-01-20T18:55:39.14+07:00[Asia/Bangkok]","0.0","1.14"
"Testing POST comments JsonPlaceHolder","POST comments with unrequired object at json","FAILURE","2023-01-20T18:55:40.292+07:00[Asia/Bangkok]","0.0","1.03"
"Testing POST comments JsonPlaceHolder","POST comments with valid parameter id","FAILURE","2023-01-20T18:55:41.333+07:00[Asia/Bangkok]","0.0","1.16"
"Testing POST comments JsonPlaceHolder","POST comments with blank json","FAILURE","2023-01-20T18:55:42.505+07:00[Asia/Bangkok]","0.0","1.07"
"Testing PUT comments JsonPlaceHolder","PUT comments with invalid json","FAILURE","2023-01-20T18:55:44.709+07:00[Asia/Bangkok]","0.0","0.82"
"Testing PUT comments JsonPlaceHolder","Put comments with unrequired object at json","FAILURE","2023-01-20T18:55:45.532+07:00[Asia/Bangkok]","0.0","1.12"
"Testing PUT comments JsonPlaceHolder","Put comments with invalid parameter id","FAILURE","2023-01-20T18:55:46.66+07:00[Asia/Bangkok]","0.0","1.08"
"Testing PUT comments JsonPlaceHolder","Put comments with blank json","FAILURE","2023-01-20T18:55:47.747+07:00[Asia/Bangkok]","0.0","1.09"
