"Story","Title","Result","Date","Stability","Duration (s)"
"Testing Delete Posts REST API","API DELETE posts with valid parameter","FAILURE","2023-01-20T18:55:48.838+07:00[Asia/Bangkok]","0.0","1.07"
"Testing Delete Posts REST API","API DELETE posts with invalid parameter","FAILURE","2023-01-20T18:55:49.912+07:00[Asia/Bangkok]","0.0","1.07"
"Testing Get Posts REST API","API GET without id","SUCCESS","2023-01-20T18:55:50.985+07:00[Asia/Bangkok]","0.0","1.15"
"Testing Get Posts REST API","API GET with valid id","SUCCESS","2023-01-20T18:55:52.144+07:00[Asia/Bangkok]","0.0","0.95"
"Testing Get Posts REST API","API GET with invalid id","SUCCESS","2023-01-20T18:55:53.103+07:00[Asia/Bangkok]","0.0","1.1"
"Testing Get Posts REST API","API GET with invalid parameter id","FAILURE","2023-01-20T18:55:54.205+07:00[Asia/Bangkok]","0.0","0.83"
"Testing Post Posts REST API","API POST new posts with valid parameter","SUCCESS","2023-01-20T18:55:55.04+07:00[Asia/Bangkok]","0.0","1.09"
"Testing Post Posts REST API","API POST new posts with blank parameter","FAILURE","2023-01-20T18:55:56.13+07:00[Asia/Bangkok]","0.0","1.05"
"Testing Post Posts REST API","API POST with invalid type data body","FAILURE","2023-01-20T18:55:57.182+07:00[Asia/Bangkok]","0.0","1.03"
"Testing Post Posts REST API","API POST new posts with extra parameter","FAILURE","2023-01-20T18:55:58.223+07:00[Asia/Bangkok]","0.0","1.04"
"Testing Post Posts REST API","API POST with less category body","FAILURE","2023-01-20T18:55:59.27+07:00[Asia/Bangkok]","0.0","1.04"
"Testing Put Posts REST API","API PUT with valid parameter","SUCCESS","2023-01-20T18:56:00.317+07:00[Asia/Bangkok]","0.0","1.14"
"Testing Put Posts REST API","API PUT with blank body","FAILURE","2023-01-20T18:56:01.461+07:00[Asia/Bangkok]","0.0","1.14"
"Testing Put Posts REST API","API PUT with invalid type data body","FAILURE","2023-01-20T18:56:02.607+07:00[Asia/Bangkok]","0.0","1.07"
"Testing Put Posts REST API","API PUT with extra body","FAILURE","2023-01-20T18:56:03.684+07:00[Asia/Bangkok]","0.0","0.83"
"Testing Put Posts REST API","API PUT with less category body","FAILURE","2023-01-20T18:56:04.515+07:00[Asia/Bangkok]","0.0","1.09"
