"Story","Title","Result","Date","Stability","Duration (s)"
"Testing DELETE comments JsonPlaceHolder","DELETE Comments with valid parameter","SUCCESS","2023-01-20T18:55:29.741+07:00[Asia/Bangkok]","0.0","1.08"
"Testing DELETE comments JsonPlaceHolder","DELETE Comments with unregistered parameter id","FAILURE","2023-01-20T18:55:30.822+07:00[Asia/Bangkok]","0.0","1.06"
"Testing DELETE comments JsonPlaceHolder","DELETE Comments with invalid parameter id","FAILURE","2023-01-20T18:55:31.89+07:00[Asia/Bangkok]","0.0","1.05"
"Testing GET comments JsonPlaceHolder","GET comments with valid parameter id","SUCCESS","2023-01-20T18:55:32.943+07:00[Asia/Bangkok]","0.0","0.69"
"Testing GET comments JsonPlaceHolder","GET comments with invalid parameter id","FAILURE","2023-01-20T18:55:33.634+07:00[Asia/Bangkok]","0.0","1.09"
"Testing GET comments JsonPlaceHolder","GET comments with unregistered parameter id","FAILURE","2023-01-20T18:55:34.728+07:00[Asia/Bangkok]","0.0","1.08"
"Testing GET comments JsonPlaceHolder","GET comments without parameter","ERROR","2023-01-20T18:55:35.817+07:00[Asia/Bangkok]","0.0","0.98"
"Testing GET comments JsonPlaceHolder","GET comments with invalid parameter","SUCCESS","2023-01-20T18:55:36.807+07:00[Asia/Bangkok]","0.0","1.1"
"Testing POST comments JsonPlaceHolder","POST comments with valid json","SUCCESS","2023-01-20T18:55:37.919+07:00[Asia/Bangkok]","0.0","1.21"
"Testing POST comments JsonPlaceHolder","POST comments with invalid json","FAILURE","2023-01-20T18:55:39.14+07:00[Asia/Bangkok]","0.0","1.14"
"Testing POST comments JsonPlaceHolder","POST comments with unrequired object at json","FAILURE","2023-01-20T18:55:40.292+07:00[Asia/Bangkok]","0.0","1.03"
"Testing POST comments JsonPlaceHolder","POST comments with valid parameter id","FAILURE","2023-01-20T18:55:41.333+07:00[Asia/Bangkok]","0.0","1.16"
"Testing POST comments JsonPlaceHolder","POST comments with blank json","FAILURE","2023-01-20T18:55:42.505+07:00[Asia/Bangkok]","0.0","1.07"
"Testing PUT comments JsonPlaceHolder","PUT comments with valid json","SUCCESS","2023-01-20T18:55:43.58+07:00[Asia/Bangkok]","0.0","1.12"
"Testing PUT comments JsonPlaceHolder","PUT comments with invalid json","FAILURE","2023-01-20T18:55:44.709+07:00[Asia/Bangkok]","0.0","0.82"
"Testing PUT comments JsonPlaceHolder","Put comments with unrequired object at json","FAILURE","2023-01-20T18:55:45.532+07:00[Asia/Bangkok]","0.0","1.12"
"Testing PUT comments JsonPlaceHolder","Put comments with invalid parameter id","FAILURE","2023-01-20T18:55:46.66+07:00[Asia/Bangkok]","0.0","1.08"
"Testing PUT comments JsonPlaceHolder","Put comments with blank json","FAILURE","2023-01-20T18:55:47.747+07:00[Asia/Bangkok]","0.0","1.09"
