"Story","Title","Result","Date","Stability","Duration (s)"
"Delete album","Delete users with valid id","SUCCESS","2023-01-20T18:55:09.545+07:00[Asia/Bangkok]","0.0","4.99"
"Delete album","Delete album with invalid id","FAILURE","2023-01-20T18:55:14.574+07:00[Asia/Bangkok]","0.0","1.07"
"Testing GET","Get album with valid parameter","SUCCESS","2023-01-20T18:55:15.656+07:00[Asia/Bangkok]","0.0","1.44"
"Testing GET","Get album with invalid parameter","FAILURE","2023-01-20T18:55:17.106+07:00[Asia/Bangkok]","0.0","0.92"
"Testing Create Album","Post create album with valid json","SUCCESS","2023-01-20T18:55:18.029+07:00[Asia/Bangkok]","0.0","1.1"
"Testing Create Album","Post create album with invalid json","FAILURE","2023-01-20T18:55:19.137+07:00[Asia/Bangkok]","0.0","1.11"
"Testing Create Album","Post create album with same body json","FAILURE","2023-01-20T18:55:20.267+07:00[Asia/Bangkok]","0.0","1.14"
"Testing Create Album","Post create album with blank body json","FAILURE","2023-01-20T18:55:21.414+07:00[Asia/Bangkok]","0.0","1.07"
"Testing Create Album","Post create album with extra body json","FAILURE","2023-01-20T18:55:22.487+07:00[Asia/Bangkok]","0.0","1.1"
"Put update albums","Put update album with valid parameter","SUCCESS","2023-01-20T18:55:23.603+07:00[Asia/Bangkok]","0.0","1.53"
"Put update albums","Put update album with invalid parameter request","FAILURE","2023-01-20T18:55:25.147+07:00[Asia/Bangkok]","0.0","1.11"
"Put update albums","Put update album with blank body","FAILURE","2023-01-20T18:55:26.265+07:00[Asia/Bangkok]","0.0","1.06"
"Put update albums","Put update album with extra body json","FAILURE","2023-01-20T18:55:27.328+07:00[Asia/Bangkok]","0.0","1.07"
"Put update albums","Put update album with unregister body json","SUCCESS","2023-01-20T18:55:28.401+07:00[Asia/Bangkok]","0.0","1.33"
