"Story","Title","Result","Date","Stability","Duration (s)"
"Delete album","Delete users with valid id","SUCCESS","2023-01-20T18:55:09.545+07:00[Asia/Bangkok]","0.0","4.99"
"Delete album","Delete album with invalid id","FAILURE","2023-01-20T18:55:14.574+07:00[Asia/Bangkok]","0.0","1.07"
"Testing GET","Get album with valid parameter","SUCCESS","2023-01-20T18:55:15.656+07:00[Asia/Bangkok]","0.0","1.44"
"Testing GET","Get album with invalid parameter","FAILURE","2023-01-20T18:55:17.106+07:00[Asia/Bangkok]","0.0","0.92"
"Testing Create Album","Post create album with valid json","SUCCESS","2023-01-20T18:55:18.029+07:00[Asia/Bangkok]","0.0","1.1"
"Testing Create Album","Post create album with invalid json","FAILURE","2023-01-20T18:55:19.137+07:00[Asia/Bangkok]","0.0","1.11"
"Testing Create Album","Post create album with same body json","FAILURE","2023-01-20T18:55:20.267+07:00[Asia/Bangkok]","0.0","1.14"
"Testing Create Album","Post create album with blank body json","FAILURE","2023-01-20T18:55:21.414+07:00[Asia/Bangkok]","0.0","1.07"
"Testing Create Album","Post create album with extra body json","FAILURE","2023-01-20T18:55:22.487+07:00[Asia/Bangkok]","0.0","1.1"
"Put update albums","Put update album with valid parameter","SUCCESS","2023-01-20T18:55:23.603+07:00[Asia/Bangkok]","0.0","1.53"
"Put update albums","Put update album with invalid parameter request","FAILURE","2023-01-20T18:55:25.147+07:00[Asia/Bangkok]","0.0","1.11"
"Put update albums","Put update album with blank body","FAILURE","2023-01-20T18:55:26.265+07:00[Asia/Bangkok]","0.0","1.06"
"Put update albums","Put update album with extra body json","FAILURE","2023-01-20T18:55:27.328+07:00[Asia/Bangkok]","0.0","1.07"
"Put update albums","Put update album with unregister body json","SUCCESS","2023-01-20T18:55:28.401+07:00[Asia/Bangkok]","0.0","1.33"
"Testing DELETE comments JsonPlaceHolder","DELETE Comments with valid parameter","SUCCESS","2023-01-20T18:55:29.741+07:00[Asia/Bangkok]","0.0","1.08"
"Testing DELETE comments JsonPlaceHolder","DELETE Comments with unregistered parameter id","FAILURE","2023-01-20T18:55:30.822+07:00[Asia/Bangkok]","0.0","1.06"
"Testing DELETE comments JsonPlaceHolder","DELETE Comments with invalid parameter id","FAILURE","2023-01-20T18:55:31.89+07:00[Asia/Bangkok]","0.0","1.05"
"Testing GET comments JsonPlaceHolder","GET comments with valid parameter id","SUCCESS","2023-01-20T18:55:32.943+07:00[Asia/Bangkok]","0.0","0.69"
"Testing GET comments JsonPlaceHolder","GET comments with invalid parameter id","FAILURE","2023-01-20T18:55:33.634+07:00[Asia/Bangkok]","0.0","1.09"
"Testing GET comments JsonPlaceHolder","GET comments with unregistered parameter id","FAILURE","2023-01-20T18:55:34.728+07:00[Asia/Bangkok]","0.0","1.08"
"Testing GET comments JsonPlaceHolder","GET comments without parameter","ERROR","2023-01-20T18:55:35.817+07:00[Asia/Bangkok]","0.0","0.98"
"Testing GET comments JsonPlaceHolder","GET comments with invalid parameter","SUCCESS","2023-01-20T18:55:36.807+07:00[Asia/Bangkok]","0.0","1.1"
"Testing POST comments JsonPlaceHolder","POST comments with valid json","SUCCESS","2023-01-20T18:55:37.919+07:00[Asia/Bangkok]","0.0","1.21"
"Testing POST comments JsonPlaceHolder","POST comments with invalid json","FAILURE","2023-01-20T18:55:39.14+07:00[Asia/Bangkok]","0.0","1.14"
"Testing POST comments JsonPlaceHolder","POST comments with unrequired object at json","FAILURE","2023-01-20T18:55:40.292+07:00[Asia/Bangkok]","0.0","1.03"
"Testing POST comments JsonPlaceHolder","POST comments with valid parameter id","FAILURE","2023-01-20T18:55:41.333+07:00[Asia/Bangkok]","0.0","1.16"
"Testing POST comments JsonPlaceHolder","POST comments with blank json","FAILURE","2023-01-20T18:55:42.505+07:00[Asia/Bangkok]","0.0","1.07"
"Testing PUT comments JsonPlaceHolder","PUT comments with valid json","SUCCESS","2023-01-20T18:55:43.58+07:00[Asia/Bangkok]","0.0","1.12"
"Testing PUT comments JsonPlaceHolder","PUT comments with invalid json","FAILURE","2023-01-20T18:55:44.709+07:00[Asia/Bangkok]","0.0","0.82"
"Testing PUT comments JsonPlaceHolder","Put comments with unrequired object at json","FAILURE","2023-01-20T18:55:45.532+07:00[Asia/Bangkok]","0.0","1.12"
"Testing PUT comments JsonPlaceHolder","Put comments with invalid parameter id","FAILURE","2023-01-20T18:55:46.66+07:00[Asia/Bangkok]","0.0","1.08"
"Testing PUT comments JsonPlaceHolder","Put comments with blank json","FAILURE","2023-01-20T18:55:47.747+07:00[Asia/Bangkok]","0.0","1.09"
"Testing Delete Posts REST API","API DELETE posts with valid parameter","FAILURE","2023-01-20T18:55:48.838+07:00[Asia/Bangkok]","0.0","1.07"
